"origin","station_id","name","top_destination","state","status"
"155","7389","Agartala","0","","0"
"156","15699","Agarvado","0","","0"
"157","14856","Agarwada-Chopdem VP, Goa","0","","0"
"158","13822","Agasthiyarpatti","0","","0"
"159","7645","Agatrai","0","","0"
"160","21921","Aghar (Gujarat)","0","","0"
"161","11030","Aghar(maharashtra)","0","","0"
"162","5043","Aghunato","0","","0"
"163","13048","Agia, Assam","0","","0"
"164","4088","Agiaon","0","","0"
"165","3251","Agiripalli","0","","0"
"166","12347","Agolai","0","","0"
"167","3905","Agomoni","0","","0"
"168","15700","Agonda","0","","0"
"169","125","Agra","0","","0"
"170","11316","Agra 1 Day Tour","0","","0"
"171","9371","Agra Sight Seen","0","","0"
"172","11134","Agrahar","0","","0"
"173","15537","Agrahara ( Kumta )","0","","0"
"174","9736","Agrav (maharashtra)","0","","0"
"175","4955","Agrico","0","","0"
"176","13471","Agroha","0","","0"
"177","1966","Agumbe","0","","0"
"178","6659","Aharbal","0","","0"
"179","1005","Aheri(maharashtra)","0","","0"
"180","1617","Ahirwadi","0","","0"
"181","12342","Ahiwara","0","","0"
"182","9331","Ahmedabad","0","","0"
"183","3909","Ahmedabad (Airport)","0","","0"
"184","3323","Ahmedabad (Bapunagar)","0","","0"
"185","12307","Ahmedgarh","0","","0"
"186","7844","Ahmednagar","0","","0"
"187","5714","Ahmedpur","0","","0"
"188","3318","Ahobhilam","0","","0"
"189","13482","Ahopa","0","","0"
"190","13281","Ahor, Rajasthan","0","","0"
"191","9321","Ahore","0","","0"
"192","5980","Ahrod","0","","0"
"193","482","Ahwa","0","","0"
"194","1572","Aibawk","0","","0"
"195","8440","Aigali cross(karnataka)","0","","0"
"196","4705","Aihole","0","","0"
"197","15674","Aima","0","","0"
"198","6907","Ainapur (karnataka) ","0","","0"
"199","8719","Ainapur (telangana) ","0","","0"
"200","6318","Ainavilli","0","","0"
"201","7584","Airoli","0","","0"
"202","11128","Airwa Katra","0","","0"
"203","13181","Ait","0","","0"
"204","10076","Aithor","0","","0"
"205","13037","Aiyar, Jharkhand","0","","0"
"206","16304","Aiza (telangana)","0","","0"
"207","7613","Aizawl","0","","0"
"208","218","Ajabgarh(rajasthan)","0","","0"
"209","2526","Ajairajpura","0","","0"
"210","4793","Ajanta","0","","0"
"211","8560","Ajantha Ellora package","0","","0"
"212","5737","Ajara","0","","0"
"213","2346","Ajaygarh","0","","0"
"214","7320","Ajeetgarh","0","","0"
"215","11745","Ajeetpura","0","","0"
"216","4756","Ajekar","0","","0"
"217","12344","Ajgaon","0","","0"
"218","16912","Ajhuwa (uttar Pradesh)","0","","0"
"219","301","Ajinkyatara","0","","0"
"220","3563","Ajintha(soyegaon)","0","","0"
"221","21856","Ajitgarh (Punjab)","0","","0"
"222","11701","Ajitmal","0","","0"
"223","8625","Ajitwal","0","","0"
"224","3915","Ajjampura","0","","0"
"225","21841","Ajjinadka (Karnataka)","0","","0"
"226","8708","Ajmer","0","","0"
"227","7431","Ajnala","0","","0"
"228","21609","Ajnar  (Uttar Pradesh)","0","","0"
"229","22397","Ajnas","0","","0"
"230","11638","Ajodar","0","","0"
"231","9357","Ajra","0","","0"
"232","21468","Akabar Nagar (Bihar)","0","","0"
"233","16083","Akadiya (madhya Pradesh)","0","","0"
"234","7883","Akaipur","0","","0"
"235","17690","Akala","0","","0"
"236","12118","Akalgarh","0","","0"
"237","9639","Akaltara","0","","0"
"238","9751","Akanda Beria","0","","0"
"239","2853","Akara Maruti Kolhapur Wadi","0","","0"
"240","95","Akbarpur","0","","0"
"241","12906","Akbarpur (ambedkar Nagar)","0","","0"
"242","16065","Akbarpur (azamgarh)","0","","0"
"243","16163","Akbarpur (Rajasthan)","0","","0"
"244","5703","Akbarpur,bihar","0","","0"
"245","11713","Akhaj","0","","0"
"246","12404","Akhara Balapur (Maharashtra)","0","","0"
"247","12582","Akhegadh","0","","0"
"248","7397","Akhnoor","0","","0"
"249","13752","Akhori","0","","0"
"250","6660","Akividu","0","","0"
"251","7779","Akkalkot","0","","0"
"252","2370","Akkalkuva","0","","0"
"253","4685","Akki Alur","0","","0"
"254","9932","Akkur(tamil Nadu)","0","","0"
"255","2204","Akkurthi","0","","0"
"256","15838","Aklara","0","","0"
"257","3858","Aklera","0","","0"
"258","8116","Akli","0","","0"
"259","1536","Akluj (Solapur)","0","","0"
"260","16122","Akoda (Rajasthan)","0","","0"
"261","1062","Akoda,haryana","0","","0"
"262","4541","Akodia","0","","0"
"263","4049","Akola","0","","0"
"264","13229","Akola, Rajasthan","0","","0"
"265","9033","Akolali-Jaliya","0","","0"
"266","1980","Akole","0","","0"
"267","3184","Akoli","0","","0"
"268","12139","Akoli","0","","0"
"269","21438","Akoliya  (Madhya Pradesh)","0","","0"
"270","1751","Akolwadi","0","","0"
"271","6715","Akorhi","0","","0"
"272","3584","Akot","0","","0"
"273","7503","Akpa","0","","0"
"274","48","Aktail","0","","0"
"275","2484","Akuluto","0","","0"
"276","3269","Akunuru","0","","0"
"277","22201","Akya","0","","0"
"278","12967","Alabad","0","","0"
"279","10123","Aladangady","0","","0"
"280","2792","Alagankulam","0","","0"
